logradouro,bairro,localidade,cep,cidade,letra,pagina,timestamp
"Acesso Guatambú","Loteamento Bosque dos Ipês","Araxá/MG","38180-865","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.613Z"
"Alameda A","Loteamento Valter dos Reis Ramos e Outros","Araxá/MG","38180-331","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Alvorada","Loteamento Vila Verde","Araxá/MG","38180-887","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda B","Loteamento Valter dos Reis Ramos e Outros","Araxá/MG","38180-332","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda C","Loteamento Valter dos Reis Ramos e Outros","Araxá/MG","38180-333","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda D","Loteamento Valter dos Reis Ramos e Outros","Araxá/MG","38180-334","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda das Nascentes","Riviera do Lago","Araxá/MG","38180-772","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda do Lago","Riviera do Lago","Araxá/MG","38180-774","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda do Sol","Jardim Residencial Bela Vista","Araxá/MG","38181-415","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda dos Arachás","Alvorada","Araxá/MG","38180-045","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda dos Flamboyants","Loteamento Recanto das Gameleiras","Araxá/MG","38180-894","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Mamoré","Riviera do Lago","Araxá/MG","38180-776","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Rio Bonito","Riviera do Lago","Araxá/MG","38180-778","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Solimões","Riviera do Lago","Araxá/MG","38180-780","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Tocantins","Riviera do Lago","Araxá/MG","38180-784","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Alameda Xingu","Riviera do Lago","Araxá/MG","38180-786","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Área Rural","Área Rural de Araxá","Araxá/MG","38184-899","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Avenida Abrão José Bittar","Jardim Residencial Bela Vista","Araxá/MG","38181-423","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Avenida Adão Rodrigues Fraga","Loteamento Fenícia","Araxá/MG","38180-847","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Avenida Ademar Guimarães","Tiradentes","Araxá/MG","38181-178","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
"Avenida Antônio Afonso Vale","Urciano Lemos","Araxá/MG","38181-136","Águas de Araxá (Araxá)/MG","A","1","2025-08-29T17:24:17.644Z"
