logradouro,bairro,localidade,cep,cidade,estado,letra,timestamp
"Alameda Abrantes","Condomínio Residencial Portugal II","Adamantina/SP","17808-650","Adamantina/SP","SP","A","2025-08-29T17:31:56.661Z"
"Alameda Alcides Zanandréa","Residencial Vista Verde II","Adamantina/SP","17803-442","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Aldo Cavichioli","Residencial Vista Verde","Adamantina/SP","17803-462","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Amarante","Condomínio Residencial Portugal II","Adamantina/SP","17808-642","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Antonio Buzzeto","Vila Cicma","Adamantina/SP","17803-124","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Antonio Buzzeto","Vila Olivero","Adamantina/SP","17803-136","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Armindo Silva","Vila Cicma","Adamantina/SP","17803-120","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Armindo Silva","Vila Olivero","Adamantina/SP","17803-132","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Aurora Mendes Cruz Del Valle","Residencial Siqueira II","Adamantina/SP","17803-002","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Aveiro","Condomínio Residencial Portugal II","Adamantina/SP","17808-634","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Barcelos","Condomínio Residencial Portugal II","Adamantina/SP","17808-652","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Belo Horizonte","Vila Jamil de Lima","Adamantina/SP","17805-406","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Braga","Condomínio Residencial Portugal","Adamantina/SP","17808-622","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Bragança","Condomínio Residencial Portugal","Adamantina/SP","17808-598","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Bráulio Molina Frias","Vila Cicma","Adamantina/SP","17803-112","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Cascais","Condomínio Residencial Portugal","Adamantina/SP","17808-626","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Chujiro Matsuda - lado par","Vila Endo","Adamantina/SP","17800-456","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
"Alameda Chujiro Matsuda - lado par","Vila Fátima","Adamantina/SP","17800-460","Adamantina/SP","SP","A","2025-08-29T17:31:56.679Z"
